ID,Question,Answer
1,¿La Unidad Programática asignada al Centro Nacional de Detección Temprana de Cáncer Gastrointestinal (CNDTCG) es la número 2806?,"Sí. El Centro Nacional de Detección Temprana de Cáncer Gastrointestinal posee el número de Unidad Programática 2806, encontrándose bajo la Dirección de Centros Especializados de la Gerencia Médica de la Caja Costarricense de Seguro Social."
2,¿Establece el Transitorio I de la norma para la prevención del cáncer colorrectal un plazo de 12 meses para que los servicios de salud cuenten con sus manuales de procedimientos y protocolos?,"No. El Transitorio I de la norma colorrectal otorga a los servicios de salud públicos, privados y mixtos un plazo de seis meses a partir de la publicación del Decreto Ejecutivo para contar con el manual de procedimientos, guía, protocolo u otro instrumento."
3,El CNDTCG fue creado originalmente en 1995 como un proyecto piloto mediante un convenio que involucró a la Universidad de Costa Rica (UCR) y a la Agencia Japonesa de Cooperación Internacional (JICA)?,"Sí. El centro tiene sus raíces en el año 1995, cuando fue creado como un proyecto piloto mediante un convenio de cooperación entre la CCSS, la Universidad de Costa Rica (UCR) y la Agencia Japonesa de Cooperación Internacional (JICA)."
4,¿El Plan de Abordaje Integral para el Tamizaje de Cáncer de Estómago y Colorrectal tiene un horizonte temporal que finaliza en diciembre de 2029?,"Sí, el plan tiene un horizonte temporal de 5 años, comenzando en julio de 2024 y finalizando en diciembre de 2029."
5,¿El Plan de Abordaje Integral para el Tamizaje de Cáncer de Estómago y Colorrectal contempla la colaboración con universidades estatales para optimizar el sistema de información de salud?,Sí. El plan establece que se recurrirá a universidades estatales con proyectos de investigación y extensión para colaborar en los requerimientos que optimicen el sistema de información en función de los programas de tamizaje.
6,"¿El plan de abordaje integral abarca a toda la población costarricense, independientemente de su rango de edad?",No. El plan abarca específicamente a la población costarricense adscrita a la CCSS entre los 50 y 74 años. No cubre a toda la población sin distinción de edad.
7,"¿Uno de los supuestos del plan es que el CNDTCG coordinará eficientemente a todos los actores involucrados, asegurando que los programas de tamizaje funcionen sin interrupciones?",Sí.
8,¿La incidencia del cáncer de colon en Costa Rica durante el periodo 2017-2022 mostró una disminución significativa similar a la del cáncer de estómago?,No.
9,"¿La incidencia total combinada de cáncer de estómago, colon y recto en la población objetivo (50-74 años) disminuyó entre 2017 y 2022?",Sí.
10,"De acuerdo con el análisis de incidencia por cantón del Plan de Abordaje Integral, ¿el modelo de tamizaje para el cáncer de recto y el cáncer de colon es el mismo, utilizando la prueba FIT?",Sí.
11,¿la mortalidad por cáncer de estómago en hombres es mayor que en mujeres?,Sí.
12,"Según el análisis de mortalidad por cantón del Plan de Abordaje Integral, ¿los cantones con mayor mortalidad combinada por cáncer de estómago, colon y recto se concentran principalmente en una sola provincia?",No.
